percent complete of 1000000 runs, map size, average score, percentage of first time visits
1,34389,2.219,39.38
2,63239,3.665,33.01
3,89643,4.945,28.91
4,113249,6.167,25.62
5,133593,7.182,22.83
6,151507,8.247,20.47
7,166769,8.853,18.5
8,180249,9.632,16.82
9,191604,9.868,15.39
10,201646,10.303,14.17
11,210399,10.474,13.13
12,218597,10.929,12.23
13,225908,10.91,11.45
14,232586,11.117,10.77
15,238676,11.359,10.16
16,244377,11.337,9.62
17,249690,11.359,9.15
18,254620,11.405,8.72
19,259385,11.346,8.34
20,263873,11.64,7.99
21,267989,11.523,7.67
22,272000,11.651,7.37
23,275735,11.685,7.1
24,279238,11.848,6.85
25,282641,11.965,6.61
26,285767,11.842,6.39
27,288911,11.932,6.19
28,292030,12.078,6
29,294891,11.847,5.83
30,297779,11.888,5.66
31,300549,11.835,5.51
32,303133,11.902,5.37
33,305751,12.181,5.23
34,308267,12.117,5.1
35,310722,12.058,4.98
36,312981,12.268,4.86
37,315253,11.984,4.75
38,317503,11.936,4.64
39,319633,12.046,4.54
40,321640,12.234,4.44
41,323654,11.932,4.35
42,325518,12.058,4.26
43,327381,11.79,4.18
44,329179,11.88,4.1
45,331003,12.108,4.03
46,332902,12.302,3.95
47,334683,11.932,3.88
48,336434,11.983,3.81
49,338033,11.92,3.75
50,339640,11.979,3.69
51,341130,12.111,3.62
52,342632,12.015,3.57
53,344170,11.941,3.51
54,345620,12.219,3.45
55,347090,12.138,3.4
56,348480,12.022,3.35
57,349825,12.03,3.3
58,351276,12.262,3.25
59,352705,12.107,3.21
60,354035,12.194,3.16
61,355395,12.025,3.12
62,356716,12.081,3.08
63,357973,11.889,3.03
64,359262,12.243,2.99
65,360536,12.242,2.96
66,361760,12.094,2.92
67,362939,12.273,2.88
68,364164,12.075,2.85
69,365323,11.993,2.81
70,366437,12.06,2.78
71,367574,12.283,2.74
72,368767,12.246,2.71
73,369902,11.978,2.68
74,371039,12.152,2.65
75,372153,12.036,2.62
76,373213,11.976,2.59
77,374250,12.065,2.57
78,375249,12.011,2.54
79,376238,12.169,2.51
80,377302,12.192,2.48
81,378291,12.198,2.46
82,379341,12.199,2.43
83,380252,12.039,2.41
84,381169,12.143,2.38
85,382135,12.23,2.36
86,383110,12.075,2.34
87,384019,12.131,2.32
88,384933,12.097,2.29
89,385836,12.109,2.27
90,386724,12.246,2.25
91,387573,12.312,2.23
92,388463,12.176,2.21
93,389322,12.166,2.19
94,390197,12.237,2.17
95,391039,12.252,2.15
96,391936,12.147,2.13
97,392840,12.097,2.11
98,393700,12.168,2.1
99,394485,12.162,2.08
100,395249,12.021,2.06
